,S1,S2,S3,I1_3hr,I2_3hr,I3_3hr,I1_6hr,I2_6hr,I3_6hr,I1_12hr,I2_12hr,I3_12hr,I1_24hr,I2_24hr,I3_24hr,S1,S2,S3
0610009E02RIK,0.9389132236692426,0.691333810931653,1.0162030951726837,0.9626266054220058,0.5767563339502219,0.8177369932343148,0.8467371081832371,0.9430754115397736,0.8124927768038646,0.7911149176239264,0.7185915838395103,0.6757058505253652,0.9279303629909678,1.0160423380956478,1.128200910284738,0.9389132236692426,0.691333810931653,1.0162030951726837
0610009L18RIK,0.6951309706485603,1.2019393834783791,1.2289565333135322,1.2412170814259613,1.548441910160506,1.1630402810818925,1.040362308950851,1.2770768941630393,1.3544361585713398,1.4609977486455132,1.6162820683844519,1.0564973927097558,1.4061924082388353,1.3750028846254108,1.1860940090804901,0.6951309706485603,1.2019393834783791,1.2289565333135322
0610009O20RIK,4.47148860697706,4.609327590651425,4.684674789600482,4.236517944207275,4.755321501297097,4.425991077520866,4.4136597462147815,4.520950949994142,4.734617755167418,4.4821303870120115,4.703117385048436,4.453401284626152,4.453731593481888,4.592364763980764,4.7500661551479615,4.47148860697706,4.609327590651425,4.684674789600482
0610010F05RIK,5.618354958921274,5.462878063160171,5.32524650317696,5.595556913540513,5.337060305762399,5.416931125422905,5.442316966426845,5.3883738416605045,5.20986388086374,5.465928960944676,5.552718304876835,5.402177038245329,5.203354611299096,5.273407806679456,5.886352180277786,5.618354958921274,5.462878063160171,5.32524650317696
0610010K14RIK,0.47483629701343516,1.0120283079581127,1.1361190663764142,1.0270194996724706,1.0460715979284867,0.7375215744565048,0.5554864045998531,0.9627214998956354,1.1235668496156166,1.0745405530275425,1.4352644904201002,0.869586331782928,1.004100570987484,0.8333413928056593,0.9221891496638942,0.47483629701343516,1.0120283079581127,1.1361190663764142
0610011F06RIK,3.4006193722588653,3.380008718158681,3.383639940392177,2.7990861050828193,3.266275405978643,3.1963854808654544,2.9911413815475445,3.0116121291338844,3.2575151732351726,2.8476082983872075,3.3567960841006133,3.1655422060450453,2.6930614263115227,3.1056089073870496,2.847555189079732,3.4006193722588653,3.380008718158681,3.383639940392177
0610025J13RIK,0.06468171286244247,0.0,0.0,0.16170306991292882,0.0,0.0,0.0,0.14462405595286792,0.0,0.05899218160098478,0.14181462158383346,0.12684644967126532,0.0,0.0,0.06315696976092773,0.06468171286244247,0.0,0.0
0610030E20RIK,3.2348448920369277,3.45035250807512,3.330159053418172,3.4930698988445723,3.431473772727557,3.5298008177072546,3.1636284395419847,3.246123113825899,3.3037425202397195,3.309033072031912,3.4068295124472656,3.387658310985422,3.2610897116324553,3.4961777876813707,3.522776543817845,3.2348448920369277,3.45035250807512,3.330159053418172
0610037L13RIK,4.315772598988581,4.446771936400927,4.2653842893839435,4.229693719186331,4.350034592719894,4.340322528782722,4.245240825761125,4.209723479257268,4.426770664435499,4.205266874170932,4.398506821840988,4.157162383419469,4.2162009538807865,4.2327492252980825,4.2955861718299575,4.315772598988581,4.446771936400927,4.2653842893839435
0610039K10RIK,0.6325010178924696,0.48745419021507563,0.46447874257960853,0.43916624240322233,0.4309705759642123,0.5930438930029874,0.9379807639857701,0.7530710036508498,0.8485804959124097,0.3697897278408389,0.2709282704381215,0.6963092063546239,0.3309827356733279,0.4444912827336963,0.7601069274857364,0.6325010178924696,0.48745419021507563,0.46447874257960853
