,GSM2571735,GSM2571736,GSM2571737,GSM2571738,GSM2571739,GSM2571740,GSM2571741,GSM2571742,GSM2571743,GSM2571744,GSM2571745,GSM2571746
4930542C12RIK,6.510475581,6.509924757,6.510443985,6.510205229,6.510200519,6.510429968,6.510346796,6.510118826,6.510013683,6.510050355,6.510086579,6.510264454
A1BG,6.19670882,6.196685667,6.196752389,6.196633209,6.196833319,6.196706553,6.196576701,6.196584947,6.196504239,6.196546381,6.196653513,6.196678398
A1CF,6.615461337,6.615305179,6.614834852,6.615186002,6.615763491,6.615473589,6.615625724,6.615660206,6.615497919,6.615193245,6.615440871,6.615591672
A1I3,6.382312877,6.381650473,6.382340171,6.382049779,6.382167731,6.382322312,6.381957193,6.381917687,6.381450885,6.381138408,6.382070678,6.382612778
A2M,8.781327893,8.861145063,9.092767482,9.140044709,9.042828482,9.218141986,8.887621845,7.768573543,7.769960352,7.819391888,7.873114045,7.789103502
A3GALT2,7.6472987,6.922294301,7.765918783,6.682790487,7.91928687,7.736374446,7.113186569,6.060160417,5.998159241,5.849765483,6.053719011,6.113944966
A4GALT,6.537634355,6.537475771,6.537726348,6.537613977,6.537996759,6.537478485,6.537767755,6.537924806,6.537782228,6.537707892,6.537513546,6.537950643
AAAS,7.249066977,7.249143355,7.249439399,7.249706902,7.249435504,7.249562154,7.249600453,7.249540773,7.249728249,7.24986872,7.249668886,7.249429566
AACS,8.247124296,8.247394931,8.247106803,8.24706857,8.247330287,8.247299244,8.247028862,8.247086638,8.247289839,8.247415559,8.247319152,8.247177497
AADAC,6.046830862,6.046523338,6.0465417,6.046629848,6.04671986,6.046597328,6.046625043,6.046636145,6.046679901,6.046831346,6.046616359,6.046778072
AADAT,7.240181777,7.318898325,7.187326258,7.923504938,7.213079216,7.084018001,7.819196199,7.39195542,7.62425468,7.633225644,7.382504363,7.342890056
AAED1,7.955622917,7.70427251,8.301419741,8.123979732,7.981314928,8.084029305,7.855202309,8.296340217,8.101863682,8.051833009,8.221798106,8.157651835
AAGAB,8.861470494,8.788329,8.977409073,9.231551844,8.954197294,9.07243346,8.997634628,9.235847895,9.168315369,9.241517237,9.127334337,9.222578982
AAK1,10.75607867,11.16337698,10.54925316,10.90502481,10.67013712,10.60701565,10.92518002,11.13009748,11.22055632,11.184882,11.15901073,10.98515742
AAMDC,7.956393994,7.956252302,7.956442304,7.956970017,7.956339156,7.956505572,7.956731852,7.956573018,7.956437446,7.956607731,7.956599954,7.956863452
AAMP,9.494121449,9.493884734,9.494103973,9.494113169,9.494186854,9.494171919,9.494136399,9.493924082,9.493843735,9.493869536,9.493790811,9.493997922
AANAT,6.761361787,6.761522039,6.761350865,6.761245966,6.761356417,6.76167194,6.761520496,6.761862598,6.761331774,6.761197534,6.761288302,6.761252722
AAR2,8.261304198,8.261386394,8.261296489,8.261360423,8.261271557,8.261221405,8.261122882,8.261204866,8.261412512,8.26141321,8.261148102,8.261406689
AARD,7.424187682,7.424113053,7.424316379,7.424450893,7.424533464,7.42462616,7.424637218,7.424721812,7.424283236,7.424593747,7.424394634,7.424668829
AARS,10.24735001,10.43733347,10.31190198,10.10696475,10.28723585,10.30909954,10.10828054,10.03432099,10.20159067,10.24115342,10.21037453,10.07899708
AARS2,6.661718497,6.661767296,6.661700563,6.661774814,6.661574417,6.661603458,6.661814989,6.66173844,6.662023242,6.66199786,6.661828533,6.661796945
AARSD1,8.60251532,8.602575994,8.602569974,8.602631142,8.602386724,8.602309568,8.602589927,8.60256303,8.602660741,8.602814985,8.602674646,8.602779283
AASDH,7.24416907,7.433463489,7.50454496,7.587639335,7.46424753,7.31751429,7.390650651,7.741335863,7.880347352,7.802708193,7.763908842,7.73750473
AASDHPPT,9.655516633,9.279968549,9.684325653,9.447521054,9.706043457,9.684557688,9.533426519,9.308539341,9.168811915,9.294949458,9.143768138,9.408447186
AASS,7.001624472,7.1304482,7.039006272,7.725150496,6.83226147,6.824183899,7.171605127,7.914335121,7.675602743,7.699669728,7.83358048,7.709999057
AATF,8.279284212,7.876779311,8.144852827,7.48132699,8.148400204,8.217652833,7.894417428,7.341850648,7.411067804,7.484443343,7.351634567,7.452710404
AATK,8.906349046,9.421020662,9.13646515,9.420827043,9.213595841,9.164062424,9.326966885,9.363469303,9.496195285,9.482328832,9.578885903,9.275412012
ABAT,7.88265848,7.882739453,7.882711639,7.88286299,7.882574839,7.882522193,7.882948526,7.882993472,7.882837455,7.88307614,7.883011831,7.883071447
ABCA1,8.456697368,8.456323558,8.456220235,8.456475063,8.456582307,8.456181567,8.455953015,8.45633248,8.456591937,8.45652263,8.456313926,8.456298753
ABCA2,8.583727452,9.201409594,8.880971801,9.257369187,8.786432311,8.942968646,9.106700571,9.151217749,9.267833776,9.280903691,9.512906716,9.216746353
ABCA3,8.494587035,8.929536434,8.585192449,8.641604627,8.526686731,8.507057892,8.622264183,8.737397865,8.815786227,8.806669442,8.867857092,8.648736629
ABCA4,6.262402235,6.26222478,6.262017946,6.261707127,6.26232014,6.262295969,6.262058646,6.262152056,6.26202045,6.261989419,6.26192537,6.262097151
ABCA5,7.673180975,8.168260777,7.725361733,7.816548873,7.80213924,7.634913832,7.778529129,8.099559786,8.497756731,8.322244907,8.314066449,8.08450093
ABCA7,7.246588864,7.848382656,7.417051707,7.299173184,7.322994648,7.436639236,7.225834373,7.382468186,7.789888036,7.713643753,7.670281432,7.354670385
ABCA8,6.285570068,6.601203565,6.613694814,6.839263067,6.572299434,6.514538101,6.64947797,6.95987478,7.327696322,7.299018452,7.202059993,6.960385955
ABCA8A,8.852961118,9.518168124,9.247350455,9.189565369,9.335980936,9.210259014,9.365518624,9.147068785,9.476274947,9.648179662,9.343195438,9.092729224
ABCB10,8.255905187,8.255669976,8.256103216,8.256107944,8.255958201,8.255889203,8.255867607,8.25593917,8.255909258,8.25598326,8.255852718,8.255998467
ABCB11,6.14052149,6.139655749,6.139499295,6.140113564,6.140019948,6.140256714,6.139666773,6.140427148,6.139853225,6.139669733,6.139789854,6.139574509
ABCB1A,7.306934081,7.575795192,7.801287823,8.032923496,7.539605772,7.645887557,7.273880225,7.832450505,8.031089088,8.150406779,8.114639574,8.443992207
ABCB4,6.946912397,6.9469763,6.946975119,6.947384498,6.947197271,6.947016859,6.9470988,6.947090083,6.947369004,6.947390729,6.947578817,6.947189805
ABCB6,7.741085653,7.741494783,7.741175545,7.741420838,7.741230243,7.741252568,7.74132319,7.741477967,7.741753047,7.741684256,7.741739476,7.741555806
ABCB8,7.627322327,7.627266517,7.627566322,7.627723547,7.627562242,7.627448904,7.627790849,7.627624191,7.627471996,7.627487658,7.627360135,7.627614091
ABCB9,6.966886618,7.235517927,7.063570908,7.442292014,7.187257115,7.073588203,7.343540511,7.507920749,7.514773082,7.578891211,7.519339523,7.551172589
ABCC1,7.811951787,7.81219249,7.812143045,7.81207389,7.81207189,7.812226484,7.811992396,7.811787254,7.812015341,7.811978228,7.812101948,7.811700258
ABCC10,7.014236766,7.014701127,7.014443666,7.014566414,7.014471081,7.014388681,7.014628279,7.014637527,7.014684453,7.014756097,7.014841806,7.014675408
ABCC2,6.528983207,6.528735453,6.52873974,6.529259146,6.528851671,6.528909789,6.529105619,6.529017202,6.529016412,6.529222384,6.529006147,6.529268351
ABCC3,6.977387416,6.977276505,6.977758891,6.977743758,6.977889977,6.977925006,6.977687174,6.97699223,6.976984313,6.976955946,6.977161419,6.976966049
ABCC4,7.045862993,7.046108702,7.046133924,7.047055259,7.045719113,7.046273204,7.046159466,7.045532236,7.046063721,7.046207828,7.046155854,7.046309561
ABCC5,8.089648781,9.152438853,8.388027845,8.939388628,8.699030731,8.481905168,8.672853917,8.910947526,9.341570044,9.303182276,9.293721546,8.91856093
ABCC6,6.852201563,6.852288985,6.852296629,6.852363202,6.851933299,6.85222421,6.852581772,6.852492768,6.852248648,6.852494334,6.852486496,6.852646865
ABCC8,6.759936174,7.143565251,6.676347746,6.769563043,6.663596355,6.532034811,6.942249813,6.916730195,7.008074668,7.173185532,6.969467911,6.793910173
ABCC9,7.100357075,7.100402181,7.100529556,7.100335276,7.100287519,7.100447918,7.100192738,7.099895687,7.100256458,7.100270716,7.100436839,7.10007627
ABCD1,7.496226585,7.496040911,7.496003097,7.496151042,7.496013304,7.496142945,7.496091097,7.496100671,7.495982213,7.495923113,7.496100049,7.496207055
ABCD2,7.105011359,7.495556449,7.320912168,8.015974743,7.032062773,6.915768866,7.563516347,8.175201538,8.172308882,8.215683204,8.115765537,8.167011159
ABCD3,9.365305322,9.368269497,9.367448252,9.37218638,9.367572028,9.364759987,9.370147359,9.37142421,9.374206858,9.37394798,9.373332988,9.372250133
ABCD4,7.135858083,7.136802714,7.136265611,7.136736049,7.136861347,7.136706631,7.136446212,7.136334611,7.137593679,7.136965481,7.136941821,7.136374427
ABCE1,9.706018623,9.544170694,9.645647792,9.395612629,9.690559581,9.703021147,9.523598797,9.292377708,9.238580572,9.168005106,9.275982866,9.329024298
ABCF1,9.650797093,9.531799751,9.467000659,9.291751853,9.459930611,9.686067696,9.601396067,9.251312654,9.206387912,9.239237293,9.344673794,9.225722735
ABCF2,9.033001823,9.033276177,9.032912982,9.03302977,9.033092796,9.032963129,9.03305114,9.033373001,9.033594678,9.033584107,9.033220457,9.033234194
ABCF3,8.707939059,8.708202386,8.707822205,8.707884925,8.707988615,8.707931115,8.707994012,8.707903846,8.708028398,8.708139192,8.708053879,8.707877885
ABCG1,8.936056073,9.324066513,9.331161122,9.572699484,9.116476287,9.249871621,9.17398287,9.596793108,9.640591682,9.637737986,9.712939447,9.500711396
ABCG2,7.322139803,7.56871645,7.482540885,8.446251324,7.250975403,7.369134254,7.75299332,7.4252392,8.003290445,7.598200363,8.233823486,8.275899658
ABCG3L1,6.80706988,6.807372762,6.807506055,6.807485521,6.807668692,6.807437995,6.807601432,6.80710105,6.807589986,6.807363911,6.807515902,6.807044539
ABCG3L2,7.1538137,7.302005686,7.595224372,7.509244598,7.574815274,7.685572477,7.385826749,6.91486282,7.090469471,7.296373495,7.263318326,7.203413807
ABCG4,7.38847026,7.814902783,7.513711316,7.87888798,7.550582778,7.472823752,7.736461464,7.934808981,8.119216165,8.136114545,8.137848789,7.833151455
ABCG5,6.530595842,6.530327085,6.530270695,6.529939066,6.530647094,6.530482602,6.530070279,6.530214225,6.530184907,6.530004506,6.530131524,6.530478572
ABCG8,6.395611736,6.395556583,6.395633387,6.395586563,6.395577666,6.395748853,6.395565174,6.395670462,6.395482204,6.395336482,6.395617442,6.395631574
ABHD1,7.040675194,7.606663047,7.184228145,7.820324956,7.252621219,6.931253394,7.442524872,7.729074449,8.149666731,8.191985446,8.078959237,7.830427756
ABHD10,7.867048572,7.866201549,7.866956228,7.866613476,7.866789381,7.866990005,7.866701431,7.866344333,7.866320859,7.8665919,7.866501178,7.866733202
ABHD11,7.957836744,7.552057384,7.741256126,7.939024058,7.900230796,8.044438324,7.895720261,7.70935258,7.678945843,7.705506599,7.586776725,7.694218407
ABHD12,8.939443987,9.028452968,8.95901968,9.166395172,8.966409827,8.89146327,9.046889533,9.091335456,9.126103337,9.206750376,9.199331326,9.121685333
ABHD13,8.646097842,8.741521147,8.502351266,8.151635411,8.410894356,8.464353207,8.486106606,8.57467772,8.686635513,8.430543761,8.222850228,8.757309011
ABHD14A,7.339611321,7.339781899,7.33980637,7.340043561,7.339896612,7.339844631,7.340053879,7.340039802,7.340018698,7.339951195,7.339931629,7.339994776
ABHD14B,7.790041133,7.71462188,7.984547392,8.27599979,8.074968836,7.979590532,8.132503198,8.050107298,8.116928405,8.116600624,8.157855933,8.2759317
ABHD15,6.791511364,6.791039675,6.791103328,6.791382308,6.791478161,6.791471754,6.791644845,6.791120038,6.790775406,6.791122209,6.790852324,6.791535021
ABHD16A,8.569228443,8.569216634,8.569333477,8.569236142,8.5692578,8.56939069,8.569332512,8.568982011,8.569240088,8.569167,8.569074792,8.569019695
ABHD17A,9.362091308,9.120008108,9.37646711,9.445070234,9.184523888,9.509693686,9.464788536,9.15944641,9.079431136,9.289293277,9.356132705,9.275925976
ABHD17B,6.536949592,6.536477385,6.536883034,6.537199827,6.536855919,6.536915757,6.536777585,6.536827302,6.53649246,6.536636801,6.536765322,6.536676531
ABHD17C,9.413509777,9.413278976,9.413767441,9.412958108,9.413462433,9.413769348,9.412960265,9.413350623,9.413000383,9.413263774,9.41314457,9.413253267
ABHD2,7.815030344,7.883488693,7.498312246,7.281368894,7.441555535,7.55883641,7.562702082,7.245584697,7.125341604,7.055591276,7.265857535,7.161591177
ABHD3,10.58566118,10.52021109,10.59153359,10.75322733,10.35089785,10.50052266,10.59317113,10.79304373,10.78997005,10.74459456,10.8589518,10.7497867
ABHD4,8.998403451,8.998448978,8.998543227,8.999005087,8.998528822,8.998837754,8.998921881,8.998582407,8.998525323,8.998623773,8.998769779,8.998836522
ABHD5,8.352119588,8.304447146,8.534982849,8.391008184,8.486096868,8.527941091,8.306460728,8.220461745,8.316366876,8.327391461,8.258496933,8.326175487
ABHD6,8.321685037,8.512276358,8.537529291,8.760823087,8.376545674,8.253493909,8.463683809,8.938274027,8.946205872,8.924780479,8.950363277,8.833311325
ABHD8,9.594322831,9.835140792,9.77716772,10.30553364,9.74085867,9.656379653,10.09431911,10.16578658,10.14696931,10.14272689,10.15227195,10.26107046
ABI1,10.38374255,10.32440281,10.38418715,10.15895232,10.25725342,10.29842334,10.32491798,10.15610884,10.14503789,10.09281671,10.13023633,10.20351562
ABI2,10.68040351,10.48714608,10.51665422,10.85707468,10.46392886,10.44996955,10.73825575,10.73056571,10.75268235,10.83816546,10.49522956,10.69922209
ABI3,7.495829897,7.495670469,7.495760065,7.495826378,7.495818757,7.495998263,7.495896356,7.495645259,7.495479937,7.495490511,7.495610117,7.4957142
ABI3BP,7.184568071,7.265220314,8.104593829,7.098100302,8.197782653,7.87495374,6.983773527,6.909879623,7.124328734,6.980556951,7.033095477,6.992436899
ABL1,7.711780345,7.712223335,7.711979418,7.711820488,7.712108054,7.712227515,7.711962862,7.711450056,7.711875439,7.711715554,7.711728215,7.711512742
ABL2,9.00581597,9.012615534,8.753809878,8.372359645,8.658282126,8.698830662,8.606554513,8.577274374,8.572206471,8.572218251,8.521018626,8.51965767
ABLIM1,8.565590155,8.98692429,8.738781354,8.941719917,8.614658499,8.563544463,8.763453892,9.042536678,9.206324878,9.137671879,9.072884445,9.114211896
ABLIM2,7.683782458,8.052517688,7.720466797,7.83140131,7.601561442,7.57976476,7.846844748,8.186031154,8.237084394,8.32667846,8.167836097,8.189506474
ABLIM3,7.503744524,7.504246297,7.503894535,7.504026364,7.503818795,7.503918447,7.504119798,7.504225843,7.50415844,7.504186122,7.503936589,7.504136803
ABO,7.290512584,7.290426635,7.290474939,7.290370874,7.290501696,7.290648561,7.290421057,7.29046749,7.290208455,7.29024653,7.290452102,7.290426137
ABR,9.191544265,9.411731136,9.141841043,9.486576977,9.068327635,8.9555825,9.223443417,9.66712593,9.609895793,9.73087982,9.552255228,9.579550603
ABRA,6.467233291,6.467477522,6.466867789,6.467092935,6.466814235,6.466946508,6.468120863,6.467500435,6.467498309,6.468585703,6.467562635,6.466985787
ABRACL,8.179820862,8.043152441,8.338287249,7.95812458,8.058576797,8.207324372,8.091010736,7.973591067,7.811396073,7.803594574,7.993416372,7.793609785
ABT1,8.757456219,8.589399867,8.570039546,8.411090433,8.512147758,8.644772172,8.577465734,8.447586245,8.346731328,8.430813356,8.393625072,8.412724812
ABTB1,7.343127571,7.66599206,7.549203822,7.881994585,7.534006775,7.504767836,7.594681016,7.831727385,8.046510168,8.085955621,8.036055358,8.103002927
ABTB2,7.050934125,7.051014936,7.051085198,7.05158092,7.051140905,7.050759622,7.05121099,7.051263737,7.051246185,7.051438017,7.05087354,7.051688882
ACAA1A,7.82657432,7.895446985,7.765164906,7.94648025,7.91917215,7.721878273,7.838870324,7.921012037,8.034534039,8.151146969,8.102406956,8.047693245
ACAA2,8.392307863,7.862279767,8.384746277,8.51842922,8.345957309,8.459502537,7.91999673,8.231651862,8.122473138,8.493407738,8.332347313,8.459354071
ACACA,8.831592849,9.201272792,9.012683555,9.070111363,9.083453115,8.968615772,8.868403872,9.137050049,9.450199526,9.394287985,9.360438595,9.11872546
ACACB,6.42531713,6.424611667,6.424277161,6.42463786,6.42514318,6.425059158,6.424560335,6.425105798,6.423864422,6.424644337,6.424400217,6.425076351
ACAD10,7.137719909,7.137819045,7.137705031,7.137917365,7.137751285,7.138040455,7.138226759,7.137836227,7.137978564,7.137952396,7.138462029,7.137876578
ACAD11,7.509963012,7.509815208,7.509877114,7.50992203,7.509721095,7.509641102,7.509718283,7.50994782,7.509874586,7.509981097,7.510006806,7.510042109
ACAD8,7.478985961,7.711636062,7.636408847,7.737436961,7.624589902,7.642103291,7.587331287,7.748233555,7.915109541,7.921132458,7.9276296,7.774686132
ACAD9,8.577073985,8.577127933,8.57695177,8.576862875,8.577100089,8.576824668,8.57704686,8.577351429,8.577425973,8.577493134,8.577351953,8.577232277
ACADL,8.822396653,8.522768173,8.936754609,9.126352844,8.829880811,8.960125674,8.898466011,8.692314281,8.670692305,8.737626409,8.640615058,8.863781491
ACADM,8.570278016,8.570179141,8.570466868,8.570709416,8.570368207,8.570447651,8.570404682,8.570384443,8.570386894,8.570331522,8.570441294,8.570596899
ACADS,7.629081319,7.62905336,7.62925179,7.629546132,7.629240593,7.629322408,7.629322872,7.62941765,7.629572981,7.629371126,7.629441843,7.62949815
ACADSB,6.921926579,6.92192438,6.921962502,6.921905756,6.921706677,6.921601366,6.921939923,6.921998911,6.921995862,6.922075328,6.922142109,6.922095153
ACADVL,8.340585332,8.340672414,8.341020625,8.341085527,8.340956711,8.340670603,8.340625435,8.340666235,8.34055049,8.340794216,8.340880644,8.340962588
ACAN,7.009134528,7.008833109,7.008857498,7.008809288,7.008901384,7.009009263,7.008873497,7.008853235,7.008661197,7.008698987,7.008778978,7.008829231
ACAP1,6.515984077,6.516140419,6.515727744,6.516191734,6.516113162,6.516202703,6.516572754,6.516565958,6.515771027,6.515788055,6.515619492,6.515750189
ACAP3,8.172104563,8.639156052,8.112435195,8.141167068,8.288017948,8.116308428,8.355326873,8.440053597,8.684647739,8.709536825,8.562285958,8.364500074
ACAT1,9.62167309,9.563791322,9.484414612,9.729966881,9.409153697,9.506936571,9.645070698,9.794134637,9.78749907,9.959882798,9.763058733,9.874545166
ACAT2,8.908926458,9.135796106,8.962217085,8.730544761,8.967759974,9.118656714,8.734609525,8.6795382,8.773150844,8.837403331,8.922958935,8.755938683
ACBD3,8.795544542,8.795464611,8.795712518,8.795381546,8.795784494,8.795737613,8.795421456,8.795465986,8.795534,8.79551747,8.795545602,8.79527426
ACBD4,8.330360123,8.378742389,8.606250245,8.886769788,8.417376862,8.542167375,8.406366461,8.761216127,8.938763149,8.82282243,8.974033163,9.0087778
ACBD5,9.8900496,9.876632158,10.05273471,9.953014474,9.892316323,9.799956388,9.908864112,10.08466433,10.13560784,10.08258262,10.10740412,10.07759273
ACBD6,8.662487171,8.662154318,8.662461968,8.662254745,8.662487161,8.662563922,8.662315438,8.662199537,8.66218153,8.662179096,8.662096251,8.66220243
ACCS,6.994172859,6.994843425,6.994732877,6.994687972,6.994752053,6.994880964,6.994476061,6.995253504,6.994227176,6.994496917,6.994878888,6.994123729
ACD,7.965783914,8.432925558,8.086511193,8.067720462,8.188956198,7.94011479,8.088295188,8.122288602,8.53478011,8.498926757,8.428050554,8.171681692
ACE,7.019157393,7.01924456,7.019941205,7.019208265,7.019619995,7.019425314,7.019452894,7.019439621,7.019701284,7.019629416,7.019483611,7.019817757
ACER1,6.449204292,6.449056468,6.448952581,6.44902541,6.448831618,6.449162059,6.448987412,6.449178008,6.448910279,6.449124282,6.449180825,6.449305369
ACER2,7.784251879,7.976805209,7.578021171,7.974280423,7.84787265,7.719973098,7.899352966,7.832904168,7.345962446,7.411840426,7.774768167,7.696053812
ACER3,7.856246745,7.856327884,7.856049901,7.856092799,7.856475531,7.856350773,7.856241425,7.855617022,7.856266256,7.85639727,7.856186457,7.856142884
ACIN1,8.270734919,8.270942095,8.271006578,8.270742145,8.270895718,8.27102473,8.270886858,8.270919282,8.27092966,8.270928524,8.271032512,8.270997705
ACKR2,6.537712081,6.537768354,6.537202446,7.012814889,6.537654994,6.537701076,6.611822094,7.05119045,6.844256369,6.950477112,6.950439532,7.110865724
ACKR4,6.488439141,6.488551627,6.48881164,6.488715509,6.488899981,6.488575496,6.488851132,6.488683022,6.489240694,6.489278259,6.489093307,6.489171519
ACLY,10.1179721,10.42446404,10.28305464,10.32032949,10.42879374,10.29514615,10.27929649,10.29358477,10.47690989,10.50262217,10.3363483,10.40073528
ACMSD,6.736783565,6.736859576,6.736037304,6.736411247,6.736969579,6.73680956,6.736878281,6.737137836,6.736324649,6.736930901,6.737488503,6.736910307
ACN9,8.730988526,8.698923598,8.736527397,8.739968848,8.737028716,8.731782342,8.739860841,8.731584665,8.719060799,8.725301095,8.729215218,8.743854871
ACO1,8.424549931,8.424625612,8.424891822,8.424926649,8.424579649,8.424587913,8.424581818,8.424690574,8.424875614,8.425101068,8.425108479,8.424837691
ACO2,10.50800538,10.62790444,10.34019241,10.66597045,10.38079198,10.32462358,10.59627513,10.68328453,10.69402008,10.75113669,10.70603969,10.66931312
ACOT1,7.306507408,7.343523432,6.967919682,7.067065838,6.967920783,7.044312913,7.179693656,6.968017837,6.967748226,6.96781778,6.968109017,7.051293364
ACOT12,6.762687566,6.762428141,6.76203406,6.76219802,6.7625996,6.762459375,6.762376281,6.762620952,6.762644621,6.762685343,6.762585015,6.762437692
ACOT13,8.219200688,8.081671451,8.507405932,8.782396571,8.474547458,8.318052221,8.545224393,8.456874643,8.389863562,8.497563125,8.395854611,8.744405012
ACOT2,8.019606162,8.077425998,7.866178211,7.988954963,7.883667655,7.894223038,8.017204241,8.016831955,8.016697841,7.997679011,7.9983632,8.055544467
ACOT3,6.511504267,6.511482484,6.511371578,6.511480756,6.51136469,6.511380071,6.511336503,6.511674265,6.511583461,6.511613805,6.511452985,6.511575885
ACOT4,6.92948231,6.929419176,6.929271522,6.92947723,6.92917194,6.929281353,6.929713062,6.929463016,6.929360162,6.929450708,6.929342148,6.929669743
ACOT7,10.42583173,10.78418399,10.32888057,10.49275314,10.53592883,10.41821432,10.45627667,10.64660782,10.76553803,10.77840083,10.63866081,10.61786607
ACOT8,8.329128087,8.328547756,8.328767992,8.328519088,8.328611748,8.328801607,8.328600985,8.328637408,8.328574489,8.328663629,8.328548908,8.32878077
ACOT9,9.635108652,9.45725809,9.65750602,9.611323771,9.65951708,9.740944754,9.636601135,9.476824955,9.420574237,9.544383597,9.473429544,9.591717011
ACOX1,9.689014706,9.689353946,9.689078819,9.689172805,9.689202849,9.689078483,9.689108402,9.68917447,9.689415834,9.689375977,9.689168519,9.689270603
ACOX2,6.577755392,6.576707586,6.577882388,6.577698741,6.576961136,6.577699648,6.577813938,6.577718297,6.577019193,6.577289264,6.577528882,6.578327354
ACOX3,6.707990188,6.707697467,6.707802144,6.70797454,6.70796087,6.707794456,6.707811016,6.707705336,6.707761366,6.707833234,6.70769545,6.707856108
ACP1,9.768856083,9.60764384,9.8193416,9.743844318,9.730136708,9.950059761,9.861676369,9.552911147,9.506752527,9.55514163,9.686294887,9.620563118
ACP2,8.61700627,8.61716641,8.617363324,8.617326691,8.61736406,8.617264177,8.617047105,8.617164994,8.617520739,8.617475443,8.617489936,8.617303875
ACP5,6.850896708,6.718709982,6.849736568,6.45123404,6.93100107,6.9007727,6.76014607,6.520549632,6.645238348,6.58218145,6.530346933,6.536003859
ACP6,7.487107501,7.454581526,7.520933321,7.521948645,7.537350719,7.539634978,7.472798798,7.467414093,7.601817215,7.602094994,7.503302172,7.508891918
ACPP,6.452314105,6.452239274,6.452196526,6.451886622,6.452165017,6.452134576,6.45235351,6.452312269,6.452066528,6.452297291,6.452079523,6.452363158
ACR,6.715497929,6.715802634,6.715893608,6.714895329,6.715736569,6.715919886,6.715875197,6.715522783,6.71512685,6.715415104,6.714879376,6.71626178
ACRBP,6.759093597,6.759365877,6.758876912,6.758761341,6.75896352,6.759078338,6.758930756,6.759244769,6.758931567,6.759116476,6.759345158,6.758913745
ACRV1,6.254775749,6.254296783,6.254401864,6.254421557,6.254649922,6.254185295,6.254277343,6.254539491,6.254545524,6.254342355,6.254105089,6.254578602
ACSBG1,9.726090731,9.734909526,9.657781151,9.941327817,9.49163758,9.574610895,9.823551012,9.943085335,9.780710235,9.807822357,9.957009378,9.921375025
ACSF2,8.169658485,8.414599993,8.087374622,8.690011276,8.066509627,8.234360747,8.48188619,8.678918291,8.730407454,8.798304892,8.71824151,8.680503546
ACSF3,8.252797435,8.252590824,8.252816874,8.252850332,8.252720262,8.252836618,8.252875257,8.252834929,8.252735122,8.252831323,8.252877523,8.252897679
ACSL1,9.084518504,9.23090787,8.980577564,8.778942144,9.004215138,8.998251709,8.832800337,8.909491831,8.988109379,9.009740684,9.111467111,8.880107342
ACSL3,9.821146738,10.16006164,9.844844615,9.977462911,9.825817715,9.747540485,9.832975626,10.16748182,10.18938056,10.18212217,10.32851483,10.17720786
ACSL4,11.0383411,11.01097307,10.90323127,10.55610841,10.9892351,10.8354126,10.65851766,10.87255964,10.69788598,10.71808385,10.95119883,10.81113802
ACSL5,8.834802727,8.914205913,8.901535849,8.931814193,8.919748775,8.873918789,8.815501853,9.001810336,9.027814726,9.058284802,8.96954618,8.963476431
ACSL6,9.719906366,9.635857452,9.560357653,9.864449571,9.438229984,9.419708454,9.681800698,9.964813737,9.916297516,9.974444921,9.912255752,9.800961486
ACSM1,6.485576889,6.485324869,6.484677868,6.485184521,6.485731229,6.485368361,6.485219136,6.485197623,6.485172978,6.484509867,6.485180631,6.484908841
ACSM2A,6.500295025,6.500306397,6.500187778,6.500093152,6.500338293,6.50030726,6.500216767,6.500427899,6.500146231,6.499941112,6.500338007,6.500398066
ACSM3,6.415340502,6.415212193,6.41542716,6.415369362,6.41549797,6.415133599,6.415298961,6.415320556,6.415250752,6.415280611,6.415249719,6.41531744
ACSM5,6.161902503,6.161849319,6.161951635,6.161800882,6.161800098,6.162011063,6.16213757,6.161744636,6.161467689,6.16154909,6.161743369,6.162130134
ACSS1,7.524048729,7.927478234,7.923178064,9.017938057,7.699291974,7.705111783,7.972409971,8.717103592,8.689065807,8.793632917,8.672970659,8.73580809
ACSS2,9.411581922,9.829007081,9.450571844,9.493005717,9.435812388,9.509509948,9.460271703,9.348632691,9.583376443,9.695865469,9.664477656,9.403553982
ACSS3,7.140224046,7.10399096,7.380769811,7.654838158,7.260544813,7.238914236,7.34367717,7.628122664,7.673318756,7.63370998,7.564442922,7.674313855
ACTA1,8.135884863,8.135264622,8.13585398,8.135477194,8.135854262,8.135647677,8.135693555,8.135672464,8.135496952,8.135739674,8.135473714,8.135910935
ACTA2,7.754889895,7.754527563,7.754743782,7.754241709,7.754619471,7.754923742,7.754508318,7.754504824,7.753922727,7.754164717,7.754236258,7.754387026
ACTB,13.27359054,13.2013713,13.29824268,13.17028492,13.30542929,13.30850839,13.19483252,12.99105175,12.9209364,12.96206018,13.02118544,12.94547907
ACTG1,13.19273143,13.20195309,13.1445014,12.92839245,13.16113198,13.17210156,13.13316037,12.96320761,12.89848029,12.96908066,13.06399383,12.88459345
ACTG2,6.710001112,6.709427409,6.709870165,6.709457435,6.709795201,6.709782303,6.709602141,6.709664933,6.709013711,6.709154301,6.709361637,6.709630304
ACTL6A,8.335776873,8.161633889,8.464513845,8.004628248,8.423579056,8.534976018,8.069877063,7.79315749,7.909203487,7.891268319,7.904182416,7.871214776
